what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337122281722
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337122291478
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337122313796
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337122347079
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337122393967
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337122396166
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337122398956
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337122400427
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337122401007
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337122401616
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337122402166
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337122402673
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337123022966
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337123194008
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337123197749
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337123198737
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337123315905
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337123322592
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337123323621
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337123350940
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337123369946
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337123380652
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337123392768
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337123449609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337123453138
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337123479368
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337123493787
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337123567066
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337123586762
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337123605826
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337123633601
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337123648017
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337123658672
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124162517
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124194690
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124349438
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124350603
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124368801
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337124403864
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124439319
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124450800
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337124456377
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124457890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124793188
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1337124807194
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337124807554
error,log,,,"File not found: '/Document_Uploader/__2F_Document_5F_Uploader_2F_WebContent_2F_index_2E_jsp.java'",1337124807758
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337124836648
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124838662
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124850643
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337124853771
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337124854962
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337124855376
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337124856563
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124861414
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124954626
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337124962012
error,log,,,"File not found: '/Document_Uploader/__2F_Document_5F_Uploader_2F_WebContent_2F_index_2E_jsp.java'",1337124962223
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124970340
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124974897
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337124975872
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125011953
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337125026632
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125054152
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125331792
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337125341626
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125364812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125691361
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1337125696092
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337125696839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125705685
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125711634
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125726381
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125728422
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125744302
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337125755750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125785559
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125816758
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125841717
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125862232
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1337125866917
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337125869056
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337125879364
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125910050
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337125920465
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337125921936
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337125922228
