what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099507079
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099514259
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099517880
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099517902
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099519253
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1337099524480
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337099530707
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337099534787
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337099540707
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1337099545115
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.copy.qualified.name",1337099548042
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1337099549349
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337099550045
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337099550496
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337099555579
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337099555848
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337099563528
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337099563955
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337099567935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099577414
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099630668
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099633900
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099634102
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099636930
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099656239
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337099656268
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099658177
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099660388
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1337099660409
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099661693
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099663899
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099663914
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099665215
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1337099672257
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337099688499
