what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1336414626335
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336414631801
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336414634483
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336414641027
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1336414641131
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1336414641149
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1336414641171
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1336414641224
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336414641258
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336414641267
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336414641707
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1336414647100
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1336414656246
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1336414664754
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1336414671439
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1336414671978
started,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1336414672025
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1336414672083
started,bundle,org.eclipse.ant.core,3.2.200.v20100427,"org.eclipse.ant.core",1336414672214
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1336414675205
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336414711363
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336414767624
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1336414769043
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1336414772278
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1336414773802
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336414804208
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336414918775
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336414920767
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336414928537
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336414932809
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336414963635
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1336414966799
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1336414969720
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1336414971634
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1336414976656
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1336414981290
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1336415009596
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336415049731
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336415065919
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336415067324
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336415107556
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1336415109333
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1336415112634
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1336415112992
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336415149923
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336415170630
