what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337106459353
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337106469098
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337106483610
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337106525430
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337106527864
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337106528564
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337106529229
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337106553416
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337106559697
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337106562786
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337106815563
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337106825721
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337106832860
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337106837316
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337106848639
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337106853000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337106891420
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337106895568
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337106902255
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337106906385
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337106907807
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1337106914719
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337106915952
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337106916107
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337106921265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337106956841
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337106970038
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1337106971006
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337106981200
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337106983772
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337106988986
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337106991062
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337106991671
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337107006013
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337107011542
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107015585
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107018263
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337107018292
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337107020149
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337107024380
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337107049240
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107062661
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107071521
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1337107072237
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337107080372
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337107133810
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337107134428
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337107136834
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1337107137254
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337107137488
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337107138567
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337107139785
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337107140194
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107153567
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107158255
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337107161576
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107168762
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107176147
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1337107180315
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337107213092
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337107214646
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337107237216
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337107246249
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337107253567
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337107254716
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337107257951
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337107260808
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107288633
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107319344
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337107324834
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337107329562
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337107334755
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337107340745
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337107352197
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107380780
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107390126
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337107396025
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337107397406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337107404063
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1337107419785
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1337107420037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107431630
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107466235
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107469904
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337107485829
