what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158139517
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158143860
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1336158144496
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158147078
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158155850
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158157088
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158273824
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158274890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158352115
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158352812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158377513
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158378396
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158814094
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1336158824795
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1336158827100
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158828643
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158832814
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158832837
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158836050
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158836876
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158839570
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158850019
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158901787
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158906229
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1336158949032
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158950248
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1336158950285
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1336158950941
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1336158951030
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336158951076
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336158951199
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1336158951703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158953151
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158961013
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1336158964474
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1336158967372
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1336158967411
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1336158967411
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1336158967413
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1336158971389
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158974329
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158992358
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1336158994840
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336158997158
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336159053141
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336159053256
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336159053367
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336159054566
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336159061702
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1336159065602
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1336159068874
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1336159071319
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336159093537
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1336159116056
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1336159117237
started,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1336159117490
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1336159117705
