what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337111271618
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337111281652
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337111285357
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337111287233
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337111293183
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337111298183
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1337111301529
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337111321353
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337111329718
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337111332373
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337111334611
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337111415503
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1337111433970
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337111436949
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337111448280
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337111449500
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337111454456
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337111479893
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337111510309
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337111532314
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337111532674
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337111533004
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337111533714
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337111534081
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337111534528
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337111534893
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337111536906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337111537283
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1337111540109
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337111547349
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337111549447
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337111560671
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337111562711
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337111563143
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337111603399
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337111631129
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337111644563
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337111646091
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337111650547
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337111653390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337111925389
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337111981673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337112053015
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1337112120503
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337112123627
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337112123820
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337112136914
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337112155133
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337112159097
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337112180531
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337112189750
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337112196088
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337112199521
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337112200121
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337112205800
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337112207987
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337112209303
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337112210181
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337112271124
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337112288399
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337112290527
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337112416158
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1337112418764
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337112423935
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337112484195
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337112486302
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337112487848
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337112540186
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337112910844
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337115614469
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337115618822
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337115653231
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1337115655762
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337115668114
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337115738520
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337115899293
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337115927883
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116122458
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116147556
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116163280
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116173434
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116330614
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116333068
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116335834
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337116366759
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116378373
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116378759
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116379759
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116381192
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116384052
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116384858
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116385783
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116387397
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116395459
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116396853
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116403171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116413554
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116415950
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116416529
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116417362
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116418712
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116429211
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116430445
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1337116430921
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337116445256
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337116447620
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337116458521
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337116461259
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116466960
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116493668
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337116497907
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1337116503619
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1337116506501
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1337116509770
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116511026
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1337116560845
